subject,subscribers,free,fee,reviews,avg reviews,level,lectures,duration,published date,subtitles,recommend
Science,9080,1,0,4121,4.5,Intermediate,2,54,2011-11-07,1,1
Information Technology,9754,0,330,9264,0.5,Beginner,4,45,2012-07-18,1,0
Photography,98,1,0,59,0.5,Beginner,11,348,2006-11-19,1,1
Photography,5407,0,1220,1724,0.0,Intermediate,8,235,2011-06-04,1,0
Social Sciences,3230,0,880,1904,0.0,Intermediate,14,199,2017-11-04,0,0
Social Sciences,9291,1,0,6111,4.5,Intermediate,6,208,2021-05-21,1,1
Information Technology,7353,0,2190,2694,3.5,Beginner,11,218,2003-04-18,1,0
Science,8309,1,0,7335,0.5,Beginner,11,281,2006-04-23,1,1
Photography,10058,0,150,7873,0.5,Beginner,19,706,2015-09-12,0,0
Science,6997,0,610,3869,2.0,Expert,6,68,2009-07-28,0,0
Social Sciences,7226,0,220,4914,5.0,Intermediate,13,519,2015-03-26,1,1
Information Technology,7412,0,2670,2779,4.0,Beginner,16,433,2015-11-23,0,0
Design,3187,0,200,1671,2.5,Intermediate,11,256,2011-12-15,1,1
Personal Development,9299,0,710,6521,1.0,Intermediate,9,483,2008-07-25,1,0
Design,3287,0,1130,1625,2.5,Beginner,14,355,2004-09-05,1,0
Personal Development,9259,1,0,4210,0.5,Intermediate,9,253,2003-07-28,1,1
Design,6610,0,410,3144,5.0,Intermediate,5,224,2002-09-05,1,0
Photography,10733,0,1030,7513,3.5,Beginner,15,529,2002-12-13,1,0
Management,9302,0,510,3265,3.5,Intermediate,17,509,2012-03-30,0,0
Design,10506,1,0,10432,4.5,Beginner,11,184,2005-03-29,1,1
Music,11446,0,950,495,1.5,Intermediate,7,152,2017-10-10,0,0
Personal Development,8998,0,100,8050,1.0,Intermediate,11,413,2007-10-29,0,1
Science,9638,1,0,634,0.0,Beginner,10,243,2014-04-21,0,1
Personal Development,8087,0,270,3993,0.0,Intermediate,14,490,2010-07-02,1,0
Information Technology,8917,0,890,1586,2.5,Intermediate,10,367,2009-04-11,0,0
Social Sciences,4242,1,0,1593,2.0,Expert,13,79,2018-08-23,0,1
Personal Development,6604,1,0,2167,3.0,Expert,7,215,2005-06-09,1,1
Management,3594,0,1790,1180,3.5,Expert,13,260,2011-02-28,1,0
Management,7226,0,4430,1300,0.5,Beginner,11,131,2012-05-20,1,0
Science,6480,0,2100,2418,2.0,Expert,21,577,2018-06-20,1,0
Science,11621,1,0,9222,5.0,Beginner,15,288,2018-09-23,0,1
Science,8089,0,2580,6612,3.0,Beginner,11,507,2016-05-03,1,0
Personal Development,9020,0,350,4189,3.0,Intermediate,4,122,2002-03-13,0,0
Design,5911,0,160,4373,1.5,Expert,14,355,2009-08-27,1,1
Science,8103,0,1280,7703,4.0,Intermediate,8,262,2015-04-27,0,0
Personal Development,8471,1,0,7605,3.0,Intermediate,10,321,2002-07-12,1,1
Photography,4606,1,0,2848,1.5,Expert,15,430,2013-10-10,0,1
Management,6928,0,450,528,0.0,Intermediate,10,444,2002-03-07,1,0
Music,9039,1,0,4699,2.0,Intermediate,12,369,2016-11-09,0,1
Science,5064,0,2550,4957,3.0,Expert,4,121,2002-05-12,1,0
Management,10833,0,580,2725,4.0,Beginner,7,174,2008-04-14,0,0
Music,4703,0,730,707,4.5,Beginner,5,106,2005-09-16,1,0
